"ref","N_Predictor","N_Response","methods","variable","variable_cat","error_distribution","data_available","species","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","sd","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","per_chick","notes"
224,1,"1","LMM","visits","number","Gaussian","TRUE","house wrens (Troglodytes aedon)","video","1",1,TRUE,7.967391,4.861717,FALSE,NA,"visits/hour",1,NA,FALSE,"females; extracted from dryad data"
224,NA,"2","LMM","visits","number","Gaussian","TRUE","house wrens (Troglodytes aedon)","video","1",1,TRUE,10.69231,4.308608,FALSE,NA,"visits/hour",1,NA,FALSE,"females, yolk subset; extracted from dryad data"
233,1,"1","GLM","visits","number","Quasi-poisson","FALSE","great tit Parus major","video","1",1,TRUE,16.28102,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"intercepts from model - day4"
233,1,"1","GLM","visits","number","Quasi-poisson","FALSE","great tit Parus major","video","1",1,TRUE,39.25191,NA,FALSE,NA,"visits/hour",1,NA,FALSE,"intercepts from model - day11"
246,3,"3","GLMM","visits","number","Poisson","FALSE","blue-black grassquit, Volatinia jacarina","video","2.20 ± 0.46 h (mean ± SD, range 1.12-2.97 h,N = 185 recordings",2.2,FALSE,2.241097,1.021713,FALSE,NA,"visits/hour",1,NA,FALSE,"males; extracted from fig 3"
246,NA,"3","GLMM","visits","number","Poisson","FALSE","blue-black grassquit, Volatinia jacarina","video","2.20 ± 0.46 h (mean ± SD, range 1.12-2.97 h,N = 185 recordings",2.2,FALSE,1.864095,0.9163268,FALSE,NA,"visits/hour",1,NA,FALSE,"females; extracted from fig 3"
254,2,"1","GLM","visits","number","Quasi-poisson","FALSE","brown booby, Sula leucogaster","direct","2",2,TRUE,5.12,2.123299,FALSE,NA,"visits/2hour",2,NA,FALSE,"female"
254,2,"1","GLM","visits","number","Poisson","FALSE","brown booby, Sula leucogaster","direct","2",2,TRUE,5.62,2.435549,FALSE,NA,"visits/2hour",2,NA,FALSE,"male"
254,1,"2","LM","visits","number","Gaussian","FALSE","brown booby, Sula leucogaster","direct","2",2,TRUE,5.37,2.28378,FALSE,NA,"visits/2hour",2,NA,FALSE,"pooled"
5,NA,"1","GLMM","visits","number","Negative_Binomial","FALSE","bee-eaters Merops apiaster","video","0.5",0.5,TRUE,9.539766,9.10082,TRUE,2,"visits/30min",0.5,NA,FALSE,"extracted from fig 2a"
5,NA,"1","GLMM","visits","number","Negative_Binomial","FALSE","bee-eaters Merops apiaster","video","0.5",0.5,TRUE,11.05793,9.48867,TRUE,2,"visits/30min",0.5,NA,FALSE,"extracted from fig 2b; assumed sample size divded equally between week and weekend days"
29,NA,"1","GLMM","visits","number","Poisson","FALSE","red-flanked bluetail Tarsiger cyanurus","video","1",1,TRUE,16.465686,7.069834,TRUE,3,"visits/hour",1,NA,FALSE,"I THINK that they watched nests multiply for an hour at a time, and analyse number of feeds during that hour, but not completely clear"
75,NA,"1","non-parametric","visits","number","non-parametric","FALSE","red-backed fairywren Malurus melanicephalus","direct","1",1,TRUE,1.342,1.768347,TRUE,2,"visits/hour",1,NA,FALSE,"no group sample sizes presented (totalN = 25, split evenly between groups)"
105,NA,"1","LM","visits","number","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1",1,TRUE,22.89,11.3486,TRUE,2,"visits/hour",1,NA,FALSE,"females"
105,NA,"1","LM","visits","number","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1",1,TRUE,27.725,11.6557,TRUE,2,"visits/hour",1,NA,FALSE,"males"
105,NA,"1","LM","visits","number","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1",1,TRUE,50.61,17.8666,TRUE,2,"visits/hour",1,NA,FALSE,"total"
126,NA,"1","LMM","visits","number","Gaussian","FALSE","blue tit Cyanistes caeruleus","video","1",1,TRUE,26.04328,NA,TRUE,6,"visits/hour",1,NA,FALSE,"means taken from table S2"
126,NA,"1","LMM","visits","number","Gaussian","FALSE","great tit Parus major","video","1",1,TRUE,15.1459,NA,TRUE,6,"visits/hour",1,NA,FALSE,"means taken from table S2"
160,NA,"1","LMM","visits","number","Gaussian","FALSE","tree swallow Tachycineta bicolor","video","1",1,TRUE,11.549306,4.745108,TRUE,6,"visits/hour",1,NA,FALSE,"playback experiment; extracted from fig 3"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.893043,2.65062,TRUE,2,"visits/hour",1,NA,FALSE,"age1 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.57,2.40192,TRUE,2,"visits/hour",1,NA,FALSE,"age1 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,7.049512,2.79634,TRUE,2,"visits/hour",1,NA,FALSE,"age2 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,7.080256,2.97047,TRUE,2,"visits/hour",1,NA,FALSE,"age2 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,4.606829,2.70244,TRUE,2,"visits/hour",1,NA,FALSE,"age3 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.484054,3.45973,TRUE,2,"visits/hour",1,NA,FALSE,"age3 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.308214,2.66467,TRUE,3,"visits/hour",1,NA,FALSE,"first clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.784762,3.1255,TRUE,3,"visits/hour",1,NA,FALSE,"first clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,4.979545,3.06213,TRUE,3,"visits/hour",1,NA,FALSE,"second clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.442941,2.45361,TRUE,3,"visits/hour",1,NA,FALSE,"second clutch 2013"
184,NA,"1","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,6.733378,3.00775,TRUE,2,"visits/30min",0.5,NA,FALSE,"total; peak vs delayed"
