"ref","common_name","scientific_name","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","mean_rate_use","sd","se","n","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","notes"
126,"Blue Tit","Cyanistes caeruleus","video","1",1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
131,"Common Guillemot","Uria aalge","direct","full day (19 or 20 h depending on date)",20,NA,"4.36",4.36,NA,"0.08",423,NA,NA,"visits/day",20,NA,"not stated whether SD or SE assume SE"
136,"Bell Miner","Manorina melanophrys","mixed direct + video","not specified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates and observation periods not presented"
137,"Tree Swallow","Tachycineta bicolor","direct","1",1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
139,"European Roller","Coracias garrulus","video","c1.5",1.5,NA,"c0.5",0.5,NA,NA,NA,NA,NA,"visits/hour",1,NA,"medians and quartiles presented in Fig. 1 - might be able to calculate better summary stats?"
148,"Ground Tit","Pseudopodoces humilis","direct","6.5 ± 0.5 in total for nest, but measured every 2 days?",NA,FALSE,"5.363644",5.363644,4.67706,NA,NA,TRUE,4,"visits/hour",1,NA,NA
150,"House Sparrow","Passer domesticus","mixed direct + video","1 or 2",1.5,NA,"11.4",11.4,NA,"0.2",NA,NA,NA,"visits/hour",1,NA,"sample size not recorded"
151,"White-browed Sparrow-weaver","Plocepasser mahali","video","mean 3.1 sd 0.27",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
153,"Tree Swallow","Tachycineta bicolor","mixed direct + RFID","systematically changed (1 h up to entire day)",NA,NA,"7.52",7.52,4.24,NA,71,NA,NA,"visits/hour",1,NA,"data from GraphClick; summary stats for data that came from direct observation (considered more accurate); paper concluded that 1 h sufficient observation period for reasons of pragmatism, but adding an extra hour could increase the proportion of variance in daily rate explained by an observation period by 0.15"
159,"House Sparrow","Passer domesticus","video","1.5",1.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
160,"Tree Swallow","Tachycineta bicolor","video","2",2,TRUE,"15.188",15.188,6.607738,NA,NA,TRUE,2,"visits/hour",1,NA,NA
163,"Tree Swallow","Tachycineta bicolor","direct","1",1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
164,"Yellowhammer","Emberiza citrinella","direct","1",1,TRUE,"6.58",6.58,4.15,NA,45,NA,NA,"visits/hour",1,NA,"data from GraphClick"
166,"White-crowned Sparrow","Zonotrichia leucophrys","video","2-4",3,NA,"4.9",4.9,3.3,NA,NA,NA,NA,"visits/hour",1,NA,NA
172,"Great Tit","Parus major","video","1.5",1.5,TRUE,"15.544878",15.544878,8.128269,NA,NA,TRUE,2,"visits/hour",1,NA,NA
172,"Blue Tit","Cyanistes caeruleus","video","1.5",1.5,TRUE,"20.06279",20.06279,11.66689,NA,NA,TRUE,2,"visits/hour",1,NA,NA
174,"House Wren","Troglodytes aedon","video","4",4,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"should be able to calculate summary stats from Table 6"
178,"House Martin","Delichon urbica","direct","1",1,TRUE,"6.113699",6.113699,2.938074,NA,NA,TRUE,12,"visits/hour",1,NA,"first clutch 2012"
181,"Lesser Grass-finch","Emberizoides ypiranganus","direct","not specified",NA,TRUE,"2.833333",2.833333,NA,NA,NA,TRUE,3,"visits/hour",1,NA,"combined means, not sure of sample sizes per age, assumed equal, not Sd presented - obseravtion tme not clear"
