"Ref","Scientific_Name","Common_Name","N_Predictor","N_Response","N_Analysis","Variable","Variable_Category","Error_Distribution","Data_Available","Observation_Method","Mean_Observation_Period_hours","Single_Observation_Period?","Pooled_Estimates?","N_Pooled_Groups","Estimate_Units","Estimate_Units_hours","Per_Chick","Mean_N_Chicks","Mean_Rate","SD_Rate","Adjusted_Mean_Rate","Adjusted_SD_Rate","Expexted_CV","Proportion_Expected_V","Notes"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,2.595684,1.72776,9.733815,6.4791,0.583374680790548,0.768125109527325,"males, age 1 vs. 2; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,3.529901,4.32343,13.23712875,16.2128625,1.19356398699617,0.949641313490121,"males, age 1 vs. 3; extracted from figure 3c"
43,"Sporophila beltoni","Tropeiro Seedeater",NA,"1",1,"visits/time","rate","non-parametric","FALSE","mixed direct + video",3.75,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,4.381843,3.70628,16.43191125,13.89855,0.809052339789565,0.914935355173208,"males, age 2 vs. 3; extracted from figure 3c"
54,"Agelaius phoeniceus","Red-winged Blackbird",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","direct",0.5,TRUE,TRUE,6,"visits/30mins/chick",0.5,TRUE,3,1.517222,0.399584,4.551666,NA,NA,NA,NA
55,"Haliaeetus leucocephalus","Bald Eagle",NA,"2",2,"visits/time/chick","rate","Gaussian","FALSE","video",24,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Haliaeetus leucocephalus","Bald Eagle",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",24,TRUE,FALSE,NA,"visits/day",24,FALSE,NA,2.64,NA,2.64,NA,NA,NA,"mean of means; sd not used as sd of 4 means"
67,"Cyanistes caeruleus","Blue Tit",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",1.5,FALSE,TRUE,2,"visits/min",0.01666667,FALSE,NA,0.58,0.244971,52.1999895600021,22.0473855905229,0.399041453699624,0.892611884579091,NA
69,"Cyanistes caeruleus","Blue Tit",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",2,TRUE,FALSE,NA,"visits/min",0.01666667,FALSE,NA,0.4367205,0.1893488,52.4064495187101,22.7218514556297,0.410975803695196,0.898492693223309,"PR; extracted from fig1a"
69,"Cyanistes caeruleus","Blue Tit",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",2,TRUE,FALSE,NA,"visits/min",0.01666667,FALSE,NA,0.4186535,0.189167,50.238409952318,22.7000354599929,0.429255069615777,0.902504894338302,"partner PR; extracted from fig1c"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",1,"1",2,"visits/time","rate","Gaussian","FALSE","automated",10,FALSE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"exp vs. control; individual"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",10,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,6.731265,2.588481,67.31265,25.88481,0.364718485967484,0.899536865232458,"control; brood"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","automated",10,FALSE,FALSE,NA,"visits/hour/chick",1,TRUE,NA,2.29609,1.023478,NA,NA,NA,NA,"control; per chick"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",10,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,3.1,2,31,20,0.619657184267695,0.9225,"control; individual"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","automated",10,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,9.915254,4.68268,99.15254,46.8268,0.461469140604596,0.954781632081049,"exp vs. control; brood"
70,"Pomatostomus ruficeps","Chestnut-crowned Babbler",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","automated",10,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,NA,3.306311,1.53848,NA,NA,NA,NA,"exp vs. control; per chick"
73,"Sturnus vulgaris","European Starling",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","direct",0.5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male; single vs. double brooders"
