"Ref","Scientific_Name","Common_Name","N_Predictor","N_Response","N_Analysis","Variable","Variable_Category","Error_Distribution","Data_Available","Observation_Method","Mean_Observation_Period_hours","Single_Observation_Period?","Pooled_Estimates?","N_Pooled_Groups","Estimate_Units","Estimate_Units_hours","Per_Chick","Mean_N_Chicks","Mean_Rate","SD_Rate","Adjusted_Mean_Rate","Adjusted_SD_Rate","Expexted_CV","Proportion_Expected_V","Notes"
215,"Ardea herodias","Great Blue Heron",1,NA,1,"NA",NA,NA,"FALSE","direct",7.5,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,0.35,0.400749,2.625,3.0056175,0.964399334403876,0.709422564667602,"age4-6"
215,"Ardea herodias","Great Blue Heron",1,NA,1,"NA",NA,NA,"FALSE","direct",7.5,FALSE,TRUE,2,"visits/hour",1,FALSE,NA,0.28035,0.396344,2.102625,2.97258,1.23413325323424,0.762045062400995,"age6-8"
215,"Ardea herodias","Great Blue Heron",1,"3",4,"visits/time","rate","Gaussian","FALSE","direct",7.5,FALSE,TRUE,8,"visits/hour",1,FALSE,NA,0.4023879,0.458509,3.01790925,3.4388175,0.983380390742736,0.744795739848806,"pooled; extracted from fig 3; probably the averages of many averages presented"
215,"Ardea herodias","Great Blue Heron",NA,"2",2,"visits/time","rate","Gaussian","FALSE","direct",7.5,FALSE,TRUE,4,"visits/hour",1,FALSE,NA,0.33825,0.431052,2.536875,3.23289,1.10896601170019,0.757273489211686,"IN"
215,"Ardea herodias","Great Blue Heron",NA,"2",2,"visits/time","rate","Gaussian","FALSE","direct",7.5,FALSE,TRUE,4,"visits/hour",1,FALSE,NA,0.4711071,0.480582,3.53330325,3.604365,0.87040633555264,0.728028507099762,"CO"
223,"Ictinia mississippiensis","Mississippi Kite",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,1.44,NA,2.88,NA,NA,NA,"years pooled; THINK that they watched nests multiple times, each tme for 2 hours? they then pool all observations of each nest. So I have just included the overal mean, and no Sd"
223,"Ictinia mississippiensis","Mississippi Kite",NA,"1",1,"visits/time","rate","non-parametric","FALSE","direct",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,2.08,NA,4.16,NA,NA,NA,"2010"
223,"Ictinia mississippiensis","Mississippi Kite",NA,"1",1,"visits/time","rate","non-parametric","FALSE","direct",2,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,0.81,NA,1.62,NA,NA,NA,"2011"
224,"Troglodytes aedon","House Wren",2,NA,2,"NA",NA,NA,"TRUE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,10.43478,5.989559,10.43478,5.989559,0.483365413977599,0.709133568659376,"males; extracted from dryad data"
224,"Troglodytes aedon","House Wren",1,"1",2,"visits","number","Gaussian","TRUE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,7.967391,4.861717,7.967391,4.861717,0.496824655640048,0.662917054138678,"females; extracted from dryad data"
224,"Troglodytes aedon","House Wren",NA,"2",2,"visits","number","Gaussian","TRUE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,10.69231,4.308608,10.69231,4.308608,0.262400880550754,0.424033035210904,"females, yolk subset; extracted from dryad data"
227,"Corvus corone","Carrion Crow",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",6,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,2.97359,NA,17.84154,NA,NA,NA,"Sample sizes not clear, so SD no used - cuckoo vs. crow"
227,"Corvus corone","Carrion Crow",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",6,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,3.490753,1.02434,20.944518,6.14604,0.195867564282454,0.445528018341601,"Sample sizes not clear - parasitised vs unparasitised"
233,"Parus major","Great Tit",1,"1",2,"visits","number","Quasi-poisson","FALSE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,16.28102,NA,16.28102,NA,NA,NA,"intercepts from model - day4"
233,"Parus major","Great Tit",1,"1",2,"visits","number","Quasi-poisson","FALSE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,39.25191,NA,39.25191,NA,NA,NA,"intercepts from model - day11"
245,"Eremophila alpestris","Horned Lark",1,"1",2,"visits/time","rate","Gaussian","FALSE","video",4,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,3.48,2.01,13.92,8.04,0.511631455187595,0.784658795574367,"males"
245,"Eremophila alpestris","Horned Lark",1,"1",2,"visits/time","rate","Gaussian","FALSE","video",4,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,4.99,3.93,19.96,15.72,0.755098945152364,0.919229001158959,"females"
245,"Eremophila alpestris","Horned Lark",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",4,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,4.235,3.205177,16.94,12.820708,0.7167708620258,0.896940177989347,"pooled sexes; assume that SD is pesented and not SE, as an SD of 33 with mean of 4 would be impossible!!"
246,"Volatinia jacarina","Blue-black Grassquit",3,"3",6,"visits","number","Poisson","FALSE","video",2.2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,2.241097,1.021713,4.9304134,2.2477686,0.0708575372007273,0.024156587141779,"males; extracted from fig 3"
246,"Volatinia jacarina","Blue-black Grassquit",NA,"3",3,"visits","number","Poisson","FALSE","video",2.2,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,1.864095,0.9163268,4.101009,2.01591896,0,0,"females; extracted from fig 3"
253,"Parus major","Great Tit",NA,"1",1,"visits","number","Gaussian","FALSE","video",1,TRUE,TRUE,2,"visits/hour",1,FALSE,NA,18.06513,10.67049,18.06513,10.67049,0.541786996299052,0.841338204418544,"extracted from fig 1"
254,"Sula leucogaster","Brown Booby",2,"1",3,"visits","number","Quasi-poisson","FALSE","direct",2,TRUE,FALSE,NA,"visits/2hour",2,FALSE,NA,5.12,2.123299,5.12,2.123299,0,0,"female"
254,"Sula leucogaster","Brown Booby",2,"1",3,"visits","number","Poisson","FALSE","direct",2,TRUE,FALSE,NA,"visits/2hour",2,FALSE,NA,5.62,2.435549,5.62,2.435549,0.0993735095220695,0.0525799469963888,"male"
254,"Sula leucogaster","Brown Booby",1,"2",3,"visits","number","Gaussian","FALSE","direct",2,TRUE,FALSE,NA,"visits/2hour",2,FALSE,NA,5.37,2.28378,5.37,2.28378,0,0,"pooled"
262,"Balaeniceps rex","Shoebill",NA,"1",1,"visits/time","rate","Poisson","FALSE","video",24,TRUE,FALSE,NA,"visits/day",24,FALSE,NA,1.12,1.08,1.12,1.08,0.192327314540518,0.0397805212620027,NA
262,"Balaeniceps rex","Shoebill",NA,"1",1,"visits/time","rate","Poisson","FALSE","video",1,TRUE,FALSE,NA,"visits/hour",1,FALSE,NA,0.11,0.35,0.11,0.35,1.01639453522718,0.10204081632653,NA
274,"Picumnus temminckii","Ochre-collared Piculet",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2.5,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,2.037002,1.522504,5.092505,3.80626,0.601893252759374,0.648492527302996,"female; extracted from fig 2"
274,"Picumnus temminckii","Ochre-collared Piculet",NA,"1",1,"visits/time","rate","Gaussian","FALSE","direct",2.5,FALSE,FALSE,NA,"visits/hour",1,FALSE,NA,1.374663,0.6858968,3.4366575,1.714742,0,0,"male; extracted from fig 2"
278,"Sturnus unicolor","Spotless Starling",1,NA,1,"NA",NA,NA,"FALSE","automated",2,TRUE,NA,NA,"visits/2hour",2,FALSE,NA,NA,NA,NA,NA,NA,NA,"pooled BR"
278,"Sturnus unicolor","Spotless Starling",1,NA,1,"NA",NA,NA,"FALSE","automated",2,TRUE,NA,NA,"visits/2hour",2,FALSE,NA,NA,NA,NA,NA,NA,NA,"female BR"
278,"Sturnus unicolor","Spotless Starling",1,NA,1,"NA",NA,NA,"FALSE","automated",2,TRUE,NA,NA,"visits/2hour",2,FALSE,NA,NA,NA,NA,NA,NA,NA,"male BR"
278,"Sturnus unicolor","Spotless Starling",NA,"1",1,"visits","number","Gaussian","FALSE","automated",0.66667,TRUE,TRUE,8,"visits/40mins",0.66667,FALSE,NA,5.835369,4.81238,5.835369,4.81238,0.71326539507245,0.748030196407039,"pooled; extracted from fig 1 and 2"
278,"Sturnus unicolor","Spotless Starling",NA,"1",1,"visits","number","Gaussian","FALSE","automated",0.66667,TRUE,TRUE,4,"visits/40mins",0.66667,FALSE,NA,7.92614,4.36017,7.92614,4.36017,0.420053861914658,0.58307792154165,"female; extracted from fig 1"
278,"Sturnus unicolor","Spotless Starling",NA,"1",1,"visits","number","Gaussian","FALSE","automated",0.66667,TRUE,TRUE,4,"visits/40mins",0.66667,FALSE,NA,3.744597,4.34737,3.744597,4.34737,1.03961682551648,0.801869253049522,"male; extracted from fig 2"
279,"Sterna hirundo / Sterna dougallii","Common Tern / Roseate Tern",NA,"4",4,"visits","number","Gaussian","FALSE","direct",1,TRUE,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"no nest provisioning rates"
279,"Sterna hirundo / Sterna dougallii","Common Tern / Roseate Tern",NA,"4",4,"visits/time/chick","rate","Gaussian","FALSE","direct",1,TRUE,TRUE,2,"visits/hour/chick",1,TRUE,2.592105,0.5476375,0.380685,1.4195339019375,NA,NA,NA,"extract from fig A4"
281,"Oenanthe oenanthe","Northern Wheatear",NA,"1",1,"visits","number","Poisson","FALSE","automated",NA,NA,NA,NA,"visits/hour",1,FALSE,NA,NA,NA,NA,NA,NA,NA,"no summary stats"
282,"Setophaga petechia","Yellow Warbler",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",1.5,FALSE,TRUE,3,"visits/hour",1,FALSE,NA,4.731161,NA,7.0967415,NA,NA,NA,"femalePR; extracted from fig 1; not sure how errors calculated so not used"
282,"Setophaga petechia","Yellow Warbler",NA,"2",2,"visits/time","rate","Gaussian","FALSE","video",1.5,FALSE,TRUE,3,"visits/hour",1,FALSE,NA,5.429291,NA,8.1439365,NA,NA,NA,"male PR; extracted from fig 1; not sure how errors calculated so not used"
282,"Setophaga petechia","Yellow Warbler",NA,"1",1,"visits/time","rate","Gaussian","FALSE","video",1.5,FALSE,TRUE,6,"visits/hour",1,FALSE,NA,5.080226,NA,7.620339,NA,NA,NA,"both sexes PR; extracted from fig 1; not sure how errors calculated so not used"
283,"Acanthiza pusilla","Brown Thornbill",NA,"1",1,"visits","number","Gaussian","FALSE","video",0.75,TRUE,TRUE,12,"visits/45min",0.75,FALSE,NA,4.266038,3.724034,4.266038,3.724034,0.726381841073744,0.692392128316814,"extracted from fig 2"
288,"Petronia petronia","Rock Sparrow",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","mixed direct + video",3.17,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,5.025,1.553333,0.529629,24.74342969025,NA,NA,NA,"biparental total PR"
288,"Petronia petronia","Rock Sparrow",2,"1",3,"visits/time/chick","rate","Gaussian","FALSE","mixed direct + video",3.17,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,5.025,1.035641,0.480558,16.49698439925,NA,NA,NA,"biparental female PR"
288,"Petronia petronia","Rock Sparrow",2,"1",3,"visits/time/chick","rate","Gaussian","FALSE","mixed direct + video",3.17,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,5.025,0.5407692,0.399044,8.6140477791,NA,NA,NA,"biparental male PR"
288,"Petronia petronia","Rock Sparrow",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","mixed direct + video",3.17,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,4.29,1.013529,0.497686,13.7832849297,NA,NA,NA,"all females PR"
288,"Petronia petronia","Rock Sparrow",NA,"1",1,"visits/time/chick","rate","Gaussian","FALSE","mixed direct + video",3.17,FALSE,TRUE,2,"visits/hour/chick",1,TRUE,5.025,0.785,0.503261,12.50446125,NA,NA,NA,"both sex biparental PR"
