"mean","R2_lm","R2_mem"
10.59,0.371134494519615,0.741830404742171
11.95,0.287414835176606,0.628233569152519
12.49,0.204262879704841,0.441975718901143
11.27,0.210507165884909,0.366067905251184
12.1,0.114155841196271,0.294182296070531
11.96,0.238510345022141,0.571452687263417
13.24,0.177318035600324,0.370507089386611
13,0.183463997112598,0.32010116251503
14,0.419874172239363,0.672091849373587
13.99,0.177280789379956,0.333656743896397
14.79,0.350015705780191,0.528711054746603
14.05,0.27562711929552,0.47512147983646
14.91,0.159830276056194,0.272141695899763
15.85,0.308377099981392,0.475931489885764
15.75,0.374048793777022,0.586882291044175
16.81,0.188439212971464,0.325929086219282
16.91,0.26222166331699,0.510215837011958
17.79,0.316002589988411,0.474408318286919
17.37,0.305062576780472,0.5681101570107
18.31,0.253978628928668,0.532955098177674
19.47,0.25231602286022,0.39019688025859
18.12,0.27665361457583,0.45041826440703
19.59,0.379887004185872,0.593336145715112
19.99,0.426522528847665,0.605313095690881
19.92,0.430403700902177,0.648933883006879
19.06,0.360313214368293,0.587238891945146
19.88,0.352494157449713,0.489086671822496
22.94,0.418828787060328,0.584296040068439
21.92,0.244410905828885,0.359892678082923
20.6,0.212966061531956,0.308851813415907
22.02,0.266312555607146,0.42891630829719
21.76,0.265377123091458,0.433031884385726
23.78,0.330183916585501,0.417632185013656
24.23,0.378789092662895,0.562329028154038
24.58,0.533284008071797,0.705789498973508
23.91,0.380743338938829,0.488928821726596
24.91,0.399487185614201,0.514730527450946
25.98,0.442023332080328,0.620641188341705
25.41,0.380961562325597,0.552960307866023
25.33,0.383467315337261,0.508285936208123
25.5,0.365269718947435,0.491270130682974
29.39,0.413453343234153,0.542931750747696
28,0.333254061726568,0.430082918640495
27.9,0.40038797419048,0.574383572046995
27.28,0.365275260900758,0.504343774911805
29.88,0.411677310370742,0.501867361578599
30.31,0.376556811488762,0.518945634990169
31.07,0.220637327249904,0.353838037141581
31.72,0.384626804748665,0.479656467804726
31.91,0.400288375437601,0.575061204732965
30.72,0.420161667379696,0.554633615474933
32.54,0.37660275497841,0.481112060391556
32.76,0.366280532617551,0.466019589570102
32.64,0.470016718457572,0.642762368328339
33.61,0.463769288680693,0.576847460363288
34.32,0.353323381557171,0.479276388887614
33.23,0.316217561718085,0.482733212044588
34.41,0.3975264491674,0.512146481746479
36.42,0.595468327243457,0.716685925299016
35.62,0.478999207179365,0.615052292122039
38.63,0.490800144237443,0.614452825665549
39.03,0.321820274682928,0.434478828625074
38.04,0.490341982988937,0.586524055149897
35.48,0.387522024350146,0.511872106808857
39.77,0.378554767614795,0.5000873373032
39.49,0.366464138381446,0.469726428672793
40.03,0.36177502004562,0.481309655126228
42.1,0.326371374441459,0.407550067576305
42.76,0.518631909882609,0.603499833315854
40.42,0.304295678954903,0.441102484257341
42.18,0.45434503589488,0.54445271694532
41.77,0.326829727796348,0.444303993658964
43.95,0.498775770230873,0.607544624161269
43.63,0.25134444653007,0.408907260976884
45.27,0.326594203399478,0.406775147574293
46.37,0.547694635723727,0.641671596238505
48.84,0.477845677654597,0.568513503169227
46.83,0.268291178346674,0.358472906913048
48.73,0.315428921561005,0.364379485605083
48.74,0.418761223304946,0.53760934402734
48.23,0.38667494250258,0.529287697728956
50.13,0.345188736746039,0.404997598113849
50.12,0.381361497378998,0.476361949280588
49.63,0.414548882773001,0.510382681093558
51.71,0.547302924170494,0.625482276451866
53.17,0.459197150813882,0.560414813973034
54.84,0.525236348892863,0.59439912689371
53.47,0.423483169140286,0.488842803857096
57.51,0.369902949392244,0.467627810168888
55.3,0.39603342560006,0.497145440805857
55.41,0.354786134025376,0.423668095983389
53.93,0.496794532199831,0.613229146581272
56.17,0.30076004853244,0.370635257891147
59.05,0.507131605645331,0.567065437453478
55.46,0.320695859810347,0.395516054248513
59.15,0.327825677137029,0.396698315544119
60.65,0.484259891274495,0.570751102505872
62.88,0.280816356019569,0.322895318770481
64.01,0.531288959178348,0.624508108394994
59.01,0.258296168863504,0.289610234930585
67.81,0.611683968292422,0.697358877801414
63.9,0.375022510321464,0.441967157247891
63.02,0.366833554596666,0.428849099299626
60.51,0.403277801180639,0.457803263968751
