"mean","R2_lm","R2_pois"
29.39,0.468922374590168,0.623357508405753
28,0.439727266355445,0.678108778522318
27.9,0.400700613339586,0.561410448634041
27.28,0.281497473637771,0.43815999881062
29.88,0.402286107487535,0.53191577576875
30.31,0.301334101893294,0.448543558428182
31.07,0.394739968367323,0.598116727409432
31.72,0.309390532085443,0.446147400046065
31.91,0.342066056770757,0.498139644194422
30.72,0.356529434953866,0.517472504803406
32.54,0.281886878777887,0.413899747063538
32.76,0.288834041765505,0.394244267901906
32.64,0.315013871742888,0.431732203572048
33.61,0.29516641275522,0.417209223043644
34.32,0.384200122445737,0.519230699874999
33.23,0.265110937519615,0.435328290032224
34.41,0.252119473459573,0.367881726210375
36.42,0.479189472084008,0.636644484016861
35.62,0.24667607142785,0.352229237446587
38.63,0.391816329711942,0.530760601634079
39.03,0.204163151705559,0.315265099524318
38.04,0.347103534188314,0.477624870099556
35.48,0.378078190364745,0.546922674812104
39.77,0.337572039353609,0.468679512269072
39.49,0.38737168133865,0.536133082144111
40.03,0.392513766461352,0.530800311089444
42.1,0.363370181216004,0.511334202776959
42.76,0.470388578890737,0.54745211651603
40.42,0.341323897874116,0.484724171763238
42.18,0.505609472073048,0.607912727802219
41.77,0.276719806633472,0.398069513583324
43.95,0.355330787258877,0.506933159244036
43.63,0.196575695185854,0.318789809432097
45.27,0.260729620759937,0.369215367157917
46.37,0.353738023887022,0.459610675153652
48.84,0.443126660687055,0.554221830996522
46.83,0.292154967399756,0.383437881542541
48.73,0.400815214084975,0.523503069928782
48.74,0.32080213413012,0.430542264209216
48.23,0.415564106780884,0.59965446368166
50.13,0.318368844137029,0.45701769564432
50.12,0.381870882752703,0.513742794701319
49.63,0.373770279408671,0.512243608154439
51.71,0.466056729915178,0.605465798454531
53.17,0.335204776096069,0.42413131177944
54.84,0.39069564072385,0.50412788137141
53.47,0.420483532657946,0.530026314731953
57.51,0.458977023071901,0.586320331193753
55.3,0.311676188515341,0.40635336538356
55.41,0.486875480166688,0.627968611695375
53.93,0.465207944641907,0.629560847595955
56.17,0.446512114601681,0.572558010029644
59.05,0.569752536147641,0.695632840809838
55.46,0.280717810062304,0.372045368841766
59.15,0.290458384497227,0.407140857820074
60.65,0.37384801080587,0.453012833271534
62.88,0.305819176758838,0.391901538615127
64.01,0.37264042991964,0.44671874508021
59.01,0.349156736133647,0.459616142495714
67.81,0.466804291711017,0.576807309092502
63.9,0.439744484957023,0.561131023297261
63.02,0.413297423499878,0.497663979649851
60.51,0.556317594995708,0.67838264915924
66.4,0.310390865364473,0.40796569948856
67.74,0.48348663670495,0.588075868752716
68.97,0.453077747144873,0.528327414217651
66.05,0.375849717374551,0.485551169676459
66.76,0.298191279898095,0.36192282615474
68.78,0.353123353753397,0.430730379668121
73.72,0.400442961261729,0.51876435567687
72.37,0.4065564315011,0.494713744119528
72.1,0.408763390710327,0.501082865923134
70.26,0.393374428660109,0.490852385074767
74.92,0.41622078711141,0.492770166648767
77.22,0.397780982720645,0.462590630696821
73.98,0.185230514029667,0.247682031408541
77.4,0.390600561969194,0.47190656803805
75.73,0.47702168677681,0.570283112570023
81.09,0.482384575717148,0.571849205803322
82.36,0.324156950318405,0.400409710369135
